date,winner_ret,loser_ret,long_short_ret,n_active_subportfolios
2015-11-30,-0.000738083142033559,0.031105936638820143,-0.0318440197808537,1
2015-12-31,-0.006200710449628961,-0.04220553346094906,0.0360048230113201,2
2016-01-31,-0.03207034532651003,-0.03903480818665778,0.006964462860147749,3
2016-02-29,-0.005788627260215666,0.0531194407970094,-0.058908068057225066,3
2016-03-31,0.05210305929786893,0.09618536390758997,-0.04408230460972104,3
2016-04-30,0.0012087548745271144,0.029153727255624772,-0.02794497238109766,3
2016-05-31,0.03966937022227085,0.03204904237787759,0.00762032784439326,3
2016-06-30,0.03166784143955515,-0.023339929458712952,0.0550077708982681,3
2016-07-31,0.048604233337190834,0.07298633735200855,-0.02438210401481771,3
2016-08-31,-0.01483806343200945,0.031169670828852313,-0.046007734260861764,3
2016-09-30,0.0135267158475366,0.013771826940248305,-0.0002451110927117056,3
2016-10-31,-0.05014151836836054,0.000667619754235201,-0.05080913812259574,3
2016-11-30,0.03162643981659464,0.0614958971657946,-0.029869457349199963,3
2016-12-31,-0.0017048492918768459,0.02501347283408818,-0.026718322125965026,3
2017-01-31,0.035827596992739415,0.0393231980542443,-0.0034956010615048855,3
2017-02-28,0.045826665423576385,0.0479069846340977,-0.002080319210521313,3
2017-03-31,0.002420990666064315,-0.004533952673848994,0.006954943339913309,3
2017-04-30,0.017075744990130044,-0.002248723017261943,0.019324468007391987,3
2017-05-31,0.03553899695559915,-0.020800908937927083,0.056339905893526235,3
2017-06-30,-0.010979627634245495,0.02373183148531896,-0.034711459119564456,3
2017-07-31,0.0316362225562225,0.006612492585893026,0.02502372997032947,3
2017-08-31,0.031005611974718395,-0.014957557919885624,0.04596316989460402,3
2017-09-30,0.015111021024191247,0.0696058781018469,-0.05449485707765565,3
2017-10-31,0.05298622497794042,-0.03729902435749246,0.09028524933543289,3
2017-11-30,0.011194053935221887,0.05826591786904928,-0.04707186393382739,3
2017-12-31,-0.003832269921857918,0.023942869446175713,-0.027775139368033632,3
2018-01-31,0.05462993126678451,0.0316379221937362,0.02299200907304831,3
2018-02-28,-0.026547821126375826,-0.06910062625316225,0.04255280512678643,3
2018-03-31,0.0018115770106032884,0.018380085963097394,-0.016568508952494107,3
2018-04-30,0.019454890835592674,0.0034330120774136324,0.01602187875817904,3
2018-05-31,0.06849923358156944,0.007887209123932953,0.060612024457636485,3
2018-06-30,0.023074451789256285,0.017045252792649117,0.006029198996607168,3
2018-07-31,0.017774402357776938,0.0400465006135462,-0.02227209825576926,3
2018-08-31,0.06790033931138661,-0.007635514909767931,0.07553585422115455,3
2018-09-30,0.0151974130379591,-0.012100358266896686,0.027297771304855785,3
2018-10-31,-0.09992180701593883,-0.0992945475789389,-0.0006272594369999412,3
2018-11-30,0.026804078803561813,0.032098320175344384,-0.005294241371782572,3
2018-12-31,-0.08314172405991159,-0.11572818629491403,0.032586462235002445,3
2019-01-31,0.05446739117812429,0.1743924671643977,-0.11992507598627342,3
2019-02-28,0.05596428615604607,0.040988122424357946,0.01497616373168812,3
2019-03-31,0.0184453229692489,0.008682679058905523,0.009762643910343377,3
2019-04-30,-0.0021246574845770424,0.058921996760188194,-0.061046654244765235,3
2019-05-31,-0.0494779271883282,-0.09408637139572958,0.04460844420740138,3
2019-06-30,0.06886185502215307,0.09926060721097894,-0.030398752188825873,3
2019-07-31,0.03370842294183215,0.027661104797346774,0.0060473181444853745,3
2019-08-31,0.01961304139389807,-0.0490570798648956,0.06867012125879368,3
2019-09-30,-0.008311432382142011,0.04488437826508854,-0.05319581064723055,3
2019-10-31,-0.0030522687691596773,0.017196887703859565,-0.020249156473019243,3
2019-11-30,0.02712737111757654,0.06961402144795942,-0.042486650330382875,3
2019-12-31,0.021697333299027687,0.028649043187205226,-0.006951709888177539,3
2020-01-31,0.01279839887475784,0.013787595810673028,-0.0009891969359151886,3
2020-02-29,-0.049037418350632855,-0.07787396760860395,0.028836549257971092,3
2020-03-31,-0.10169455829699227,-0.19727625161180165,0.09558169331480938,3
2020-04-30,0.15589261363414464,0.25000400111833737,-0.09411138748419273,3
2020-05-31,0.09306809249044638,0.04908052730220521,0.04398756518824117,3
2020-06-30,0.05880857033706688,0.032258847083636105,0.026549723253430774,3
2020-07-31,0.07587823545627174,0.02977396521787143,0.046104270238400316,3
2020-08-31,0.029658055297868843,0.028794389170667536,0.0008636661272013076,3
2020-09-30,-0.0330938885014416,-0.043501927643831075,0.010408039142389476,3
2020-10-31,-0.014128163959694658,-0.011295978283175375,-0.0028321856765192825,3
2020-11-30,0.14544758181374254,0.2003233970826337,-0.054875815268891154,3
2020-12-31,0.05652274528476123,0.04163060720789848,0.014892138076862745,3
2021-01-31,-0.001200954152772011,-0.017016242114946113,0.0158152879621741,3
2021-02-28,0.06232612335182371,0.04893213342223877,0.013393989929584946,3
2021-03-31,0.03574115795278008,0.0729659715034381,-0.03722481355065802,3
2021-04-30,0.03404148321863781,0.06467258542259487,-0.03063110220395706,3
2021-05-31,0.031222359736880295,0.003143642992245853,0.02807871674463444,3
2021-06-30,-0.02926760968229698,0.021902798545566867,-0.051170408227863846,3
2021-07-31,0.008880058641524937,0.014923376010056888,-0.006043317368531951,3
2021-08-31,0.052212442102183676,0.020409379602262374,0.031803062499921306,3
2021-09-30,-0.07169508913605462,-0.037341428552979165,-0.03435366058307545,3
2021-10-31,0.10014342025673746,0.04125557024754673,0.05888785000919073,3
2021-11-30,-0.03251094997351941,-0.022738009713476923,-0.009772940260042485,3
2021-12-31,0.023522717170523514,0.07564860691875992,-0.05212588974823641,3
2022-01-31,-0.11114874973250922,-0.012997107975902715,-0.09815164175660651,3
2022-02-28,-0.01920612556855319,-0.0463845597487362,0.027178434180183005,3
2022-03-31,0.036949556670014504,0.012807349165795475,0.024142207504219027,3
2022-04-30,-0.033831389277244786,-0.1333443398679098,0.09951295059066502,3
2022-05-31,0.020057779451974195,-0.02914364806617602,0.049201427518150216,3
2022-06-30,-0.07948873734581755,-0.08365137047833653,0.004162633132518981,3
2022-07-31,0.03361201943572934,0.12159372557891934,-0.08798170614319001,3
2022-08-31,0.00039189166081677235,-0.0524298333420375,0.05282172500285427,3
2022-09-30,-0.06911971618118411,-0.11978912539110997,0.05066940920992587,3
2022-10-31,0.13232485752704973,0.03793104646661629,0.09439381106043343,3
2022-11-30,0.03701718383876779,0.08878626823657354,-0.05176908439780575,3
2022-12-31,-0.05825994132198994,-0.05849054951790108,0.00023060819591114168,3
2023-01-31,0.026310456332839696,0.17555571820360197,-0.14924526187076226,3
2023-02-28,-0.012207682045559325,-0.030675859743739278,0.018468177698179954,3
2023-03-31,0.006617706731365026,0.02987850438872748,-0.023260797657362456,3
2023-04-30,0.016012216610483958,-0.002212896123523139,0.018225112734007096,3
2023-05-31,-0.03789948355714601,-0.02743165289111521,-0.010467830666030797,3
2023-06-30,0.0894910405034182,0.08597718186934379,0.0035138586340744127,3
2023-07-31,0.026064711041829797,0.09928846912211198,-0.07322375808028218,3
2023-08-31,0.013055049244717743,-0.05876404581911138,0.07181909506382912,3
2023-09-30,-0.04320984688320684,-0.0686030550593894,0.02539320817618257,3
2023-10-31,-0.023712476698225113,-0.04928654647934725,0.025574069781122137,3
2023-11-30,0.07673264226801207,0.11524054509269317,-0.0385079028246811,3
2023-12-31,0.04888551289480001,0.12411507604351778,-0.07522956314871776,3
2024-01-31,0.017709736886364808,-0.029697966688949303,0.04740770357531411,3
2024-02-29,0.08441367172487896,0.053639109306987065,0.030774562417891893,3
2024-03-31,0.027281156535799333,0.06067374056935435,-0.03339258403355502,3
2024-04-30,-0.040916387397440974,-0.026454139843864466,-0.014462247553576509,3
2024-05-31,0.05261959075246936,0.029556679461431295,0.023062911291038064,3
2024-06-30,0.00511762938559977,0.0010906945691042341,0.004026934816495536,3
2024-07-31,-0.03618838050973591,0.04687251558044638,-0.0830608960901823,3
2024-08-31,0.041941996063709054,0.0229275103141387,0.019014485749570355,3
2024-09-30,0.09688646898270303,0.04910883981895855,0.047777629163744485,3
2024-10-31,-0.0054107029002788375,-0.022798618956611047,0.01738791605633221,3
2024-11-30,0.10465659778998103,0.06608587675808318,0.03857072103189785,3
2024-12-31,-0.048212944300482674,-0.06000272622693694,0.011789781926454267,3
2025-01-31,0.0759211104713121,0.033714209055487936,0.042206901415824165,3
2025-02-28,-0.0664912349449971,-0.0075519233610755005,-0.05893931158392161,3
2025-03-31,-0.09726996868166991,-0.014749920479630571,-0.08252004820203934,3
2025-04-30,-0.007870466821537232,-0.0513949684997293,0.043524501678192065,3
2025-05-31,0.04689371634758674,0.0355315262586188,0.011362190088967938,3
2025-06-30,0.04354525098848627,0.0787355835935283,-0.03519033260504202,3
2025-07-31,0.0017861090869212759,0.03809190161027801,-0.036305792523356736,3
2025-08-31,0.012346269969053775,0.036991463732883506,-0.02464519376382973,3
2025-09-30,0.05311725054387709,-0.022390117407082872,0.07550736795095996,3
2025-10-31,0.038020466824999155,-0.04966644768024098,0.08768691450524013,3
2025-11-30,-0.004573311613803809,0.0055903568656211836,-0.010163668479424993,3
2025-12-31,0.014283106228519507,0.022474175112822316,-0.008191068884302809,3
