t,mean,tstat,n_portfolios
1,0.004483152524777882,0.9283780281888274,125
2,0.0033475906822516043,0.7406689383097431,124
3,0.0026280108000030816,0.5500298783735676,123
4,0.001954606361266236,0.4120621165963344,122
5,0.004156912225090394,0.9057091277076434,121
6,0.0013308985424764182,0.28135135831682095,120
7,0.00027967902679741576,0.05756403409463285,119
8,-0.0014163766331214411,-0.2889543882730495,118
9,0.0012231680867046495,0.2821964224438875,117
10,-0.0006884946492656401,-0.1608904547981055,116
11,-0.0013080243177625362,-0.2795385494131571,115
12,0.0033474941941050436,0.7365098145038104,114
13,0.002006616768117205,0.40431237850208374,113
14,0.0010072187018386693,0.1986082840043105,112
15,0.0013924265530281378,0.28818039943859675,111
16,0.001550966932435759,0.3374645299097173,110
17,0.0019982458873715704,0.45586581043022284,109
18,-0.0007789036977911374,-0.16589494966811782,108
19,-0.0017675518187443345,-0.4095550628959366,107
20,-0.0024963961118245285,-0.5868189187784669,106
21,-0.005204962492962007,-1.2218194911068936,105
22,-0.005126312642412665,-1.2871376114968274,104
23,-0.006255150796124148,-1.5710718408763686,103
24,-0.005420444687479682,-1.3037149273193172,102
25,-0.004517425309830543,-1.135199273243216,101
26,-0.0015787775326261478,-0.38962007041378544,100
27,-0.001019670121552664,-0.26639503316941227,99
28,0.0012972595072647953,0.34355362561648267,98
29,0.0031109809499758976,0.8063205537681188,97
30,0.005620204673832094,1.3910740103724832,96
31,0.002545921603560978,0.5924593708537723,95
32,0.0026432894175467667,0.631761195877096,94
33,0.001242378512601043,0.2543271358511386,93
34,0.002827802065235833,0.5908773932270539,92
35,0.0025623324885526715,0.5500320858753369,91
36,0.0013995705002668591,0.3144235480045528,90
