group,mean_monthly_ls,nw_tstat_mean_ls,ann_return_approx,sharpe,capm_alpha,capm_t_alpha,capm_beta,n_obs
Low,0.004429008210309383,1.2365075509827117,0.054462067442782036,0.32363051820258587,0.0058947320312275515,1.743418587203344,-0.10324351036496034,122.0
Mid,-4.134824083036868e-06,-0.0012992832293126867,-4.961676062487097e-05,-0.000305765310280165,0.0050731529145348325,1.5499223532563513,-0.35763695846841587,122.0
High,0.007711880796707131,1.8729849995179855,0.09657047004747277,0.43172393381878477,0.013822269527343924,3.0388979202354753,-0.43040712939375514,122.0
