t,winner_monthly_ret,loser_monthly_ret,ls_monthly_ret,winner_monthly_t,loser_monthly_t,ls_monthly_t,winner_cum_ret,loser_cum_ret,ls_cum_ret,winner_cum_t,loser_cum_t,ls_cum_t,n_portfolios,ls_cum_from_mean_monthly
1,0.021113177387289142,0.016630024862511264,0.004483152524777882,4.124519245434807,2.603053573352019,0.9283780281888274,0.02111317738728914,0.016630024862511257,0.004483152524777882,4.124519245434807,2.603053573352018,0.9283780281888273,125,0.004483152524777934
2,0.02062508197661341,0.017277491294361808,0.0033475906822516043,4.072109425972826,2.9326717173452193,0.7406689383097431,0.04161337889846604,0.03339626105238192,0.007437637779808932,6.030717886671964,4.110934096314454,1.1835642756554312,124,0.007845750966648524
3,0.02043265611968979,0.01780464531968671,0.0026280108000030816,3.9977513930015705,2.8123407977900663,0.5500298783735676,0.062334335488809504,0.05027486662038204,0.009649191520253403,7.600170798987299,5.397397330595931,1.3186142288425242,123,0.010494380484926236
4,0.020086064188767877,0.018131457827501637,0.001954606361266236,3.6333024331258446,2.850667687980513,0.4120621165963344,0.08217070778900355,0.06808476111817029,0.009778661215410673,8.533657005793465,6.450846592661187,1.2560242730415878,122,0.012469499229045944
5,0.020109497054961994,0.0159525848298716,0.004156912225090394,3.6725556218547775,2.5202358016428645,0.9057091277076434,0.10197311963492305,0.08426227516448695,0.01229417537280418,9.813059636367774,7.151442858060974,1.4725639390006262,121,0.01667824606792223
6,0.021424053155250804,0.02009315461277439,0.0013308985424764182,4.108300853118397,3.101682579523941,0.28135135831682095,0.12460430390637546,0.10474800572926914,0.012718089622271363,10.940011346902299,8.076145123183602,1.3649907763543823,120,0.01803134166378162
7,0.02103010038325906,0.02075042135646165,0.00027967902679741576,4.162070432978205,3.233291010550586,0.05756403409463285,0.14699540986855988,0.12655371011065764,0.013802461849228544,11.93185289967589,8.509506495038012,1.234710590276189,119,0.01831606367866745
8,0.01962372695803359,0.02104010359115503,-0.0014163766331214411,3.840321327088633,3.3535320319683466,-0.2889543882730495,0.1681638595057509,0.14948409793538064,0.013836213959700179,12.644245675428627,8.622799847717957,1.0678474409923573,118,0.01687374460094082
9,0.01959391911935067,0.018370751032646022,0.0012231680867046495,3.808891207120429,3.152911688301134,0.2821964224438875,0.19131069903635567,0.16884327770452906,0.016998897518612274,12.57701285348634,8.876952833672501,1.1955720843149529,117,0.0181175521135446
10,0.01881256697710189,0.019501061626367524,-0.0006884946492656401,3.7745950921730307,3.2376410161278923,-0.1608904547981055,0.21378774556597743,0.1902450818499472,0.017051579934406702,12.840583379449138,9.207018738202777,1.134660627859592,116,0.01741658362659093
11,0.018710094067752016,0.02001811838551455,-0.0013080243177625362,3.507118174679858,3.394339155820612,-0.2795385494131571,0.2355659775404751,0.21449610246181497,0.015571470892492369,12.996641136622783,9.376988267636289,0.9592118219952016,115,0.01608577799391253
12,0.021055432355522617,0.017707938161417573,0.0033474941941050436,3.7260612023958717,2.990468741209756,0.7365098145038104,0.2614070672569182,0.2348812305190157,0.018303170649626645,13.044842650411272,9.809964739466931,1.0754801722561582,114,0.01948711923645985
13,0.01955201398897192,0.017545397220854714,0.002006616768117205,3.515408923832628,2.811205907002393,0.40431237850208374,0.28495025822370873,0.2537866037703157,0.020727985151233422,13.020101591153516,10.213555591915773,1.1243937917210407,113,0.021532839184799313
14,0.018975694737370426,0.01796847603553176,0.0010072187018386693,3.4643823899608455,2.9157574945309643,0.1986082840043105,0.3086421161037092,0.2753748004045801,0.022252024016731427,13.47778165502392,10.489300897098222,1.1352415823640545,112,0.022561746164968532
15,0.019920692925992307,0.018528266372964168,0.0013924265530281378,3.4853300635234286,3.041910614495137,0.28818039943859675,0.33111021345875574,0.29757277060111087,0.020270394828431664,13.719928656578402,11.082668739940335,0.9968599237934385,111,0.023985588292439353
16,0.01888964284450162,0.017338675912065858,0.001550966932435759,3.3031008704317806,2.848815832961417,0.3374645299097173,0.3524766064320222,0.31726783386396334,0.01900989890963739,14.230049867559156,11.907379959009527,0.9080814194162623,110,0.025573756079171783
17,0.01837330028002157,0.016375054392649996,0.0019982458873715704,3.113417487181724,2.8373528412519797,0.45586581043022284,0.3746715379904835,0.3383451487704516,0.020967572383218162,14.660601603520641,12.020996708618688,0.9622719399883372,109,0.027623104619453054
