window_start,window_end,J,K,mean_monthly_ls,nw_tstat_mean_ls,n_obs
2015-01-31,2019-12-31,3,3,-0.002052745388431418,-0.5427633021147543,56
2015-01-31,2019-12-31,6,3,-0.0014216346138646045,-0.3215678867036043,53
2015-01-31,2019-12-31,9,3,-0.00032017320819975603,-0.06660545856365505,50
2015-01-31,2019-12-31,12,3,-0.005138301413348985,-0.8681220585084024,47
2015-07-31,2020-06-30,3,3,-0.001889704697230177,-0.4907424635574728,56
2015-07-31,2020-06-30,6,3,-0.0016590817185286584,-0.34771918800277757,53
2015-07-31,2020-06-30,9,3,0.004193719730673346,1.0472812541533312,50
2015-07-31,2020-06-30,12,3,0.000611941159500878,0.1315941134101292,47
2016-01-31,2020-12-31,3,3,0.0009229697027426988,0.2698780693235526,56
2016-01-31,2020-12-31,6,3,0.0023323961177183434,0.5518842686190789,53
2016-01-31,2020-12-31,9,3,0.0038099961317223526,0.70689998246296,50
2016-01-31,2020-12-31,12,3,0.0025180701589747646,0.4925795795911827,47
2016-07-31,2021-06-30,3,3,0.0031575450701540166,0.865769463953135,56
2016-07-31,2021-06-30,6,3,0.003988454379873703,0.983060251186779,53
2016-07-31,2021-06-30,9,3,0.0016246891863037677,0.2866855808423239,50
2016-07-31,2021-06-30,12,3,-0.002179337540264101,-0.30645862220203546,47
2017-01-31,2021-12-31,3,3,0.0034493882628259037,0.9354550915717782,56
2017-01-31,2021-12-31,6,3,0.0026243392469014076,0.6375090402795308,53
2017-01-31,2021-12-31,9,3,-0.0012646211000119489,-0.22467556896465632,50
2017-01-31,2021-12-31,12,3,-0.0036192319047813155,-0.5204359367800364,47
2017-07-31,2022-06-30,3,3,0.0048469109304957805,1.0654960499647121,56
2017-07-31,2022-06-30,6,3,0.0040440115337143845,0.8097568783496334,53
2017-07-31,2022-06-30,9,3,0.0016026545546717222,0.26846821405769705,50
2017-07-31,2022-06-30,12,3,-0.00016790888774113563,-0.022194044936804776,47
2018-01-31,2022-12-31,3,3,0.00393661449417601,0.9456185442709992,56
2018-01-31,2022-12-31,6,3,0.004885342475876697,0.9959015183406896,53
2018-01-31,2022-12-31,9,3,0.002230597111720679,0.3673296316309538,50
2018-01-31,2022-12-31,12,3,0.002202569037181296,0.28503651478672226,47
2018-07-31,2023-06-30,3,3,0.0018184660135411566,0.38316960694241287,56
2018-07-31,2023-06-30,6,3,0.003007183066298549,0.7018881216358066,53
2018-07-31,2023-06-30,9,3,-0.0007052914029287731,-0.10889915278275222,50
2018-07-31,2023-06-30,12,3,-0.005326747151568035,-0.6352010334801297,47
2019-01-31,2023-12-31,3,3,0.0005275667168961944,0.10313347094206697,56
2019-01-31,2023-12-31,6,3,0.0021923486650864982,0.5098671548654637,53
2019-01-31,2023-12-31,9,3,-0.002896066077976445,-0.4646384376844711,50
2019-01-31,2023-12-31,12,3,-0.004667862452266529,-0.5512775044075932,47
2019-07-31,2024-06-30,3,3,0.0014568397391549154,0.3126056674278278,56
2019-07-31,2024-06-30,6,3,0.006481775458367675,1.4225408373061488,53
2019-07-31,2024-06-30,9,3,0.0009662178086015584,0.1348640865169946,50
2019-07-31,2024-06-30,12,3,-0.002694274296192639,-0.2823478443112184,47
2020-01-31,2024-12-31,3,3,0.0033478740078240455,0.7045883661617498,56
2020-01-31,2024-12-31,6,3,0.004550428204073147,1.0346818508167244,53
2020-01-31,2024-12-31,9,3,0.0014171382718475311,0.18442796245445597,50
2020-01-31,2024-12-31,12,3,0.0036677311056433296,0.4202133898679431,47
2020-07-31,2025-06-30,3,3,-0.0014214711724349096,-0.267906913262531,56
2020-07-31,2025-06-30,6,3,0.006441566408975196,1.4316650300596485,53
2020-07-31,2025-06-30,9,3,0.006811043645558925,1.1256367692065896,50
2020-07-31,2025-06-30,12,3,0.008322973767862193,1.0700209592150847,47
2021-01-31,2025-12-31,3,3,0.0007441242055580202,0.12804565053600547,56
2021-01-31,2025-12-31,6,3,0.0073137831520674644,1.5942975456326518,53
2021-01-31,2025-12-31,9,3,0.008551403617675916,1.334783278999288,50
2021-01-31,2025-12-31,12,3,0.010756617451040408,1.329348591465024,47
